rainfall,temperature,humidity,wind_speed,pressure,moisture_index,instability_index,pressure_drop,rain_intensity,risk_label
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
10.0,32.125,62.0,2.535,1007.0,620.0,1991.75,6.0,25.35,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
3.0,32.125,62.0,2.535,1007.0,186.0,1991.75,6.0,7.605,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
21.6,32.125,62.0,2.535,1007.0,1339.2,1991.75,6.0,54.75600000000001,2
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.5,32.125,62.0,2.535,1007.0,31.0,1991.75,6.0,1.2675,0
12.7,32.125,62.0,2.535,1007.0,787.4,1991.75,6.0,32.1945,1
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
0.0,32.125,62.0,2.535,1007.0,0.0,1991.75,6.0,0.0,0
